name,name character_deaths,name character_predictions,allegiances,nobility,gender,has_Allegiance,is_alive,has_dead_rels,culture,mother,father,spouse,house,heir,data_poor,known_culture,known_spouse,known_heir,known_mother,known_father,num_interactions,num_people_interacted,num_interactions_dead,num_people_interacted_dead,num_hops_daenerys,num_hops_cersei,num_hops_jonsnow,pageRank,community
Luco Prestayn,Luco Prestayn,Luco Prestayn,None,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Meralyn,,Meralyn,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Happy Port,Unknown,1,1,1,0,0,0,9.0,1.0,,,3.0,2.0,2.0,0.22387549633858728,1637.0
Merling Queen,,Merling Queen,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Mero,Mero,Mero,None,0,1,0.0,0,0,Braavosi,Unknown,Unknown,0,Second Sons,Unknown,0,1,1,0,0,0,24.0,4.0,,,1.0,2.0,3.0,0.4948686462128534,1832.0
Moonshadow,,Moonshadow,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Moredo Prestayn,,Moredo Prestayn,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Narbo,,Narbo,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Noho Dimittis,,Noho Dimittis,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Iron Bank of Braavos,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,1428.0
Orbelo,,Orbelo,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Oro Tendyris,,Oro Tendyris,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Poetess,,Poetess,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Qarro Volentin,,Qarro Volentin,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Quence,,Quence,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Quill,,Quill,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,4.0,1.0,,,5.0,5.0,4.0,0.28984307590872044,963.0
Roggo,,Roggo,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
S'vrone,,S'vrone,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Sloey,,Sloey,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Syrio Forel,Syrio Forel,Syrio Forel,House Stark,0,1,1.0,0,0,Braavosi,Unknown,Unknown,0,House Stark,Unknown,0,1,1,0,0,0,43.0,4.0,9.0,2.0,2.0,2.0,2.0,0.4897313104011118,1637.0
Tagganaro,,Tagganaro,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Talea,,Talea,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,8.0,2.0,,,3.0,2.0,2.0,0.28005123457987785,1637.0
Ternesio Terys,Ternesio Terys,Ternesio Terys,None,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,8.0,2.0,,,3.0,2.0,2.0,0.2600347908679396,1637.0
Terro,,Terro,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Tycho Nestoris,Tycho Nestoris,Tycho Nestoris,None,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Iron Bank of Braavos,Unknown,0,1,1,0,0,0,22.0,3.0,,,3.0,2.0,1.0,0.35703004389069976,174.0
Veiled Lady,,Veiled Lady,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Yorko Terys,,Yorko Terys,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,6.0,1.0,,,3.0,2.0,2.0,0.19925033123872712,1637.0
Howland Reed,,Howland Reed,Unknown,1,1,0.0,1,0,Crannogmen,Unknown,Unknown,Jyana,House Reed,Unknown,1,1,1,0,0,0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,0.1934341421612772,158.0
Jojen Reed,Jojen Reed,Jojen Reed,House Stark,1,1,1.0,1,0,Crannogmen,Unknown,Unknown,0,House Reed,Unknown,0,1,1,0,0,0,261.0,10.0,16.0,3.0,3.0,2.0,2.0,1.9942198045551778,158.0
Jyana,,Jyana,Unknown,1,0,0.0,1,0,Crannogmen,Unknown,Unknown,Howland Reed,House Reed,Unknown,1,1,1,0,0,0,0.0,1.0,,,3.0,3.0,3.0,0.15000000000000002,158.0
Meera Reed,Meera Reed,Meera Reed,House Stark,1,0,1.0,1,0,Crannogmen,Unknown,Unknown,0,House Reed,Unknown,0,1,1,0,0,0,291.0,11.0,7.0,2.0,3.0,2.0,2.0,2.222450935095549,158.0
Andrey Dalt,Andrey Dalt,Andrey Dalt,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Dalt,Unknown,0,1,1,0,0,0,37.0,5.0,,,3.0,2.0,3.0,0.6461724478518591,2018.0
Arianne Martell,Arianne Martell,Arianne Martell,House Martell,1,0,1.0,1,0,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,189.0,20.0,30.0,3.0,2.0,2.0,3.0,2.9529740221798417,2018.0
Aron Santagar,Aron Santagar,Aron Santagar,House Lannister,1,1,1.0,0,0,Dornish,Unknown,Unknown,0,House Santagar,Unknown,0,1,1,0,0,0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,0.16976848361373414,1926.0
Arthur Dayne,,Arthur Dayne,Unknown,1,1,0.0,0,0,Dornish,Unknown,Unknown,0,House Dayne,Unknown,1,1,1,0,0,0,24.0,5.0,20.0,4.0,2.0,2.0,3.0,0.8292909525451251,2109.0
Cassella Vaith,,Cassella Vaith,Unknown,1,0,0.0,1,0,Dornish,Unknown,Unknown,0,House Vaith,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2326.0
Daemon Sand,Daemon Sand,Daemon Sand,House Martell,0,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Allyrion,Unknown,0,1,1,0,0,0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,0.20187848425994165,1795.0
Daeron Vaith,,Daeron Vaith,Unknown,1,1,0.0,1,0,Dornish,Unknown,Unknown,0,House Vaith,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2326.0
Delonne Allyrion,,Delonne Allyrion,Unknown,1,0,0.0,1,0,Dornish,Unknown,Unknown,0,House Allyrion,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2332.0
Doran Martell,Doran Martell,Doran Martell,House Martell,1,1,1.0,1,1,Dornish,Unknown,Unknown,Mellario of Norvos,House Nymeros Martell,Unknown,0,1,1,0,0,0,203.0,22.0,39.0,6.0,1.0,1.0,2.0,2.258238113019616,1795.0
Dorea Sand,,Dorea Sand,Unknown,1,0,0.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2202.0
Edric Dayne,Edric Dayne,Edric Dayne,None,1,1,0.0,1,0,Dornish,Unknown,Unknown,0,House Dayne,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2152.0
Elia Sand,,Elia Sand,Unknown,1,0,0.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2202.0
Ellaria Sand,Ellaria Sand,Ellaria Sand,House Martell,1,0,1.0,1,1,Dornish,Unknown,Unknown,Oberyn Martell,House Uller,Unknown,0,1,1,0,0,0,24.0,6.0,7.0,1.0,2.0,1.0,2.0,0.3603868480888195,1795.0
Franklyn Fowler,,Franklyn Fowler,Unknown,1,1,0.0,1,0,Dornish,Unknown,Unknown,0,House Fowler,Unknown,1,1,1,0,0,0,3.0,1.0,,,3.0,3.0,4.0,0.18965923536452464,2018.0
Gerold Dayne,Gerold Dayne,Gerold Dayne,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Dayne of High Hermitage,Unknown,0,1,1,0,0,0,34.0,5.0,6.0,1.0,3.0,2.0,3.0,0.5210576868150384,2018.0
Gerris Drinkwater,Gerris Drinkwater,Gerris Drinkwater,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Drinkwater,Unknown,0,1,1,0,0,0,100.0,9.0,54.0,2.0,1.0,2.0,3.0,1.3903471427503973,1767.0
Jynessa Blackmont,Jynessa Blackmont,Jynessa Blackmont,House Martell,1,0,1.0,1,0,Dornish,Unknown,Unknown,0,House Blackmont,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2298.0
Larra Blackmont,Larra Blackmont,Larra Blackmont,House Martell,1,0,1.0,1,0,Dornish,Unknown,Unknown,0,House Blackmont,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2298.0
Lewyn Martell,,Lewyn Martell,Unknown,1,1,0.0,0,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,12.0,4.0,12.0,4.0,3.0,3.0,3.0,0.6384795520454647,1753.0
Loreza Sand,,Loreza Sand,Unknown,1,0,0.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2202.0
Manfrey Martell,,Manfrey Martell,Unknown,1,1,0.0,1,0,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,4.0,1.0,,,4.0,4.0,5.0,0.411701435680152,2047.0
Maron Martell,,Maron Martell,Unknown,1,1,0.0,1,1,Dornish,Unknown,Unknown,Daenerys Targaryen,House Martell,Unknown,1,1,1,0,0,0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.15000000000000002,2202.0
Mors Martell,,Mors Martell,Unknown,1,1,0.0,1,0,Dornish,Unknown,Unknown,Nymeria,House Martell,Unknown,1,1,1,0,0,0,0.0,1.0,,,10.0,10.0,10.0,0.15000000000000002,1741.0
Myria Jordayne,Myria Jordayne,Myria Jordayne,House Martell,0,0,1.0,1,0,Dornish,Unknown,Unknown,0,House Jordayne,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2384.0
Nymella Toland,Nymella Toland,Nymella Toland,House Martell,1,0,1.0,1,0,Dornish,Unknown,Unknown,0,House Toland,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2387.0
Nymeria Sand,Nymeria Sand,Nymeria Sand,House Martell,1,0,1.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,40.0,4.0,,,2.0,2.0,3.0,0.663451774045825,1795.0
Obara Sand,Obara Sand,Obara Sand,House Martell,1,0,1.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,68.0,6.0,,,2.0,2.0,3.0,1.004267039219849,1795.0
Obella Sand,,Obella Sand,Unknown,1,0,0.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2202.0
Oberyn Martell,Oberyn Martell,Oberyn Martell,House Martell,1,1,1.0,0,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,192.0,20.0,78.0,6.0,2.0,1.0,2.0,1.797221259586513,1742.0
Perros Blackmont,Perros Blackmont,Perros Blackmont,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Blackmont,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2298.0
Quentyn Martell,Quentyn Martell,Quentyn Martell,House Martell,1,1,1.0,0,0,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,246.0,19.0,13.0,3.0,1.0,2.0,3.0,3.3613931036554274,1767.0
Ryon Allyrion,Ryon Allyrion,Ryon Allyrion,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,Ynys Yronwood,House Allyrion,Unknown,0,1,1,0,0,0,0.0,1.0,,,10.0,10.0,10.0,0.15000000000000002,2103.0
Sarella Sand,Sarella Sand,Sarella Sand,House Martell,0,0,1.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,3.0,1.0,,,3.0,3.0,4.0,0.19473632493900375,1795.0
Sylva Santagar,Sylva Santagar,Sylva Santagar,House Martell,1,0,1.0,1,0,Dornish,Unknown,Unknown,Eldon Estermont,House Santagar,Unknown,0,1,1,0,0,0,33.0,6.0,,,3.0,2.0,3.0,0.5874995990889145,2018.0
Tanselle,,Tanselle,Unknown,0,0,0.0,1,0,Dornish,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,1795.0
Timeon,Timeon,Timeon,None,0,1,0.0,0,0,Dornish,Unknown,Unknown,0,Brave Companions,Unknown,0,1,1,0,0,0,22.0,4.0,17.0,3.0,3.0,2.0,3.0,0.43434866847237574,2469.0
Tremond Gargalen,Tremond Gargalen,Tremond Gargalen,House Martell,1,1,1.0,1,0,Dornish,Unknown,Unknown,0,House Gargalen,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2415.0
Trystane Martell,,Trystane Martell,Unknown,1,1,0.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,1,1,1,0,0,0,17.0,2.0,3.0,1.0,2.0,2.0,3.0,0.2957794570887927,2018.0
Tyene Sand,Tyene Sand,Tyene Sand,House Martell,1,0,1.0,1,1,Dornish,Unknown,Unknown,0,House Martell,Unknown,0,1,1,0,0,0,57.0,9.0,3.0,1.0,2.0,2.0,3.0,1.004088022513315,1795.0
Ulrick Dayne,,Ulrick Dayne,Unknown,1,1,0.0,1,0,Dornish,Unknown,Unknown,0,House Dayne,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2152.0
Willam Wells,Willam Wells,Willam Wells,House Martell,0,1,1.0,0,0,Dornish,Unknown,Unknown,0,House Wells,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2412.0
Aggo,Aggo,Aggo,House Targaryen,0,1,1.0,1,0,Dothraki,Unknown,Unknown,0,House Targaryen,Unknown,0,1,1,0,0,0,112.0,10.0,9.0,2.0,1.0,2.0,3.0,1.1568417503498496,1832.0
Bharbo,,Bharbo,Unknown,0,1,0.0,1,1,Dothraki,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,596.0
Cohollo,Cohollo,Cohollo,None,0,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Khal,Unknown,0,1,1,0,0,0,29.0,4.0,22.0,3.0,1.0,2.0,3.0,0.43525248540099704,1832.0
Drogo,Drogo,Drogo,House Targaryen,1,1,1.0,0,1,Dothraki,Unknown,Unknown,Daenerys Targaryen,Unknown,Unknown,0,1,1,0,0,0,307.0,21.0,93.0,9.0,1.0,2.0,2.0,3.3370236876420676,1832.0
Fogo,Fogo,Fogo,None,1,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,0.25960854965524044,1832.0
Haggo,Haggo,Haggo,None,0,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,45.0,6.0,30.0,4.0,1.0,2.0,3.0,0.5979991857893765,1832.0
Iggo,Iggo,Iggo,None,0,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Brave Companions,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,47.0
Irri,Irri,Irri,House Targaryen,0,0,1.0,1,0,Dothraki,Unknown,Unknown,0,House Targaryen,Unknown,0,1,1,0,0,0,220.0,15.0,31.0,3.0,1.0,2.0,3.0,2.0916316007263958,1832.0
Jhaqo,Jhaqo,Jhaqo,None,1,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,51.0
Jhiqui,Jhiqui,Jhiqui,House Targaryen,0,0,1.0,1,0,Dothraki,Unknown,Unknown,0,House Targaryen,Unknown,0,1,1,0,0,0,183.0,12.0,16.0,2.0,1.0,2.0,3.0,1.721836173720658,1832.0
Jhogo,Jhogo,Jhogo,House Targaryen,0,1,1.0,1,0,Dothraki,Unknown,Unknown,0,House Targaryen,Unknown,0,1,1,0,0,0,131.0,12.0,15.0,3.0,1.0,2.0,3.0,1.3478748267982152,1832.0
Jommo,,Jommo,Unknown,0,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,6.0,2.0,6.0,2.0,2.0,3.0,3.0,0.2597403390769615,1832.0
Mago,Mago,Mago,None,0,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,51.0
Moro,Moro,Moro,None,1,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2506.0
Ogo,Ogo,Ogo,None,1,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,18.0,3.0,15.0,2.0,2.0,3.0,3.0,0.5815835181216245,1832.0
Pono,Pono,Pono,None,1,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,14.0,4.0,4.0,1.0,1.0,2.0,3.0,0.27194906857330353,1832.0
Qotho,Qotho,Qotho,None,0,1,0.0,0,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,68.0,7.0,43.0,5.0,1.0,2.0,3.0,0.8268449392868207,1832.0
Quaro,Quaro,Quaro,House Targaryen,0,1,1.0,0,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,21.0,5.0,7.0,2.0,1.0,2.0,3.0,0.34458546673995444,1832.0
Rakharo,Rakharo,Rakharo,House Targaryen,0,1,1.0,1,0,Dothraki,Unknown,Unknown,0,House Targaryen,Unknown,0,1,1,0,0,0,85.0,10.0,13.0,3.0,1.0,2.0,3.0,0.9270224574254826,1832.0
Rhogoro,Rhogoro,Rhogoro,None,1,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2506.0
Temmo,,Temmo,Unknown,0,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2505.0
Zekko,,Zekko,Unknown,0,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,51.0
Zollo,Zollo,Zollo,None,0,1,0.0,1,0,Dothraki,Unknown,Unknown,0,Brave Companions,Unknown,0,1,1,0,0,0,14.0,4.0,11.0,3.0,3.0,2.0,2.0,0.30177067753975284,59.0
Bran the Builder,,Bran the Builder,Unknown,1,1,0.0,1,0,Free Folk,Unknown,Unknown,0,House Stark,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2482.0
Durran,,Durran,Unknown,0,1,0.0,1,0,Free Folk,Unknown,Unknown,0,Unknown,Durran the Devout,1,1,1,1,0,0,0.0,1.0,,,10.0,10.0,10.0,0.15000000000000002,2138.0
Griffin King,,Griffin King,Unknown,0,1,0.0,1,0,Free Folk,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2482.0
